Designator,Mid X,Mid Y,Rotation,Layer
C1,26.25,-32.25,180.0,top
C10,46.45,-22.5625,90.0,top
C11,47.4,-39.2375,90.0,top
C12,29.75,-41.25,0.0,top
C13,45.2,-38.8,270.0,top
C14,24.7125,-41.25,0.0,top
C15,43.0,-39.4,270.0,top
C16,40.8,-38.8,270.0,top
C17,38.6,-40.0,270.0,top
C18,37.85,-27.4,180.0,top
C19,36.0,-34.25,0.0,top
C2,58.9,-24.9,0.0,top
C3,58.9,-37.8,0.0,top
C4,58.9,-35.6,180.0,top
C5,58.95,-27.1,180.0,top
C6,55.0,-30.05,180.0,top
C7,54.95,-32.55,0.0,top
C8,50.8,-37.9625,90.0,top
C9,57.15,-41.6,180.0,top
D1,29.0,-24.0,180.0,top
D2,29.0,-21.95,180.0,top
J1,67.774998,-40.295001,270.0,top
J2,19.052501,-30.724998,270.0,top
J3,70.15,-30.6,180.0,top
L1,28.9,-25.85,180.0,top
R1,23.3,-24.5,0.0,top
R10,33.0,-24.0,0.0,top
R11,50.6,-41.6,0.0,top
R12,33.0,-22.0,0.0,top
R13,34.5,-40.2,90.0,top
R14,31.45,-28.25,180.0,top
R15,31.45,-32.15,180.0,top
R16,35.4,-32.15,180.0,top
R2,20.2,-36.8,180.0,top
R3,62.45,-29.25,270.0,top
R4,62.4,-33.2,90.0,top
R5,58.9,-22.5,0.0,top
R6,53.7,-37.9,180.0,top
R7,58.9,-32.55,180.0,top
R8,58.9,-30.05,180.0,top
R9,49.85,-21.05,90.0,top
SW1,54.600001,-22.529998,0.0,top
SW2,43.499998,-22.270002,0.0,top
U1,26.25,-29.25,180.0,top
U2,45.4,-30.9,0.0,top
Y1,28.239999,-36.5,0.0,top
